Video,Subject
CRIF with PFNA II Surgical Video (Dr. Shailesh Pai),Fundamental Concepts
MCQ Discussion on Shoulder (Dr. Harpreet Singh),Conceptual Connect LIVE Sessions
Discussion of Questions On Ortho Paediatrics in DNB 2018 (Dr. Faheem Kotekar),Solved Theory Papers
"Bankart's Repair (Dr. Harpreet Singh)",Conceptual Connect LIVE Sessions
MCQs Discussion on Arthroplasty Part - 2 (Prof. Dr. Heiko Graichen & Dr. Ravinder Dimri),Conceptual Connect LIVE Sessions
Interactive session: Short Case - Swelling Elbow (Prof. Dr. Anil Dhal),Clinical Examination
Management of Ankylosing Spondylitis (Dr. Suvrat Arya),Arthritis
Plane of a Swelling and Mobility (Dr. Naufal Nahas),Fundamental Concepts
Discussion of MCQs on Basic Sciences Part - 1 (Dr. Ravinder Dimri),MCQ Discussion
DNB Dec 2016 Trauma MCQ Discussion (Dr. Shailesh Pai),Solved Theory Papers
Discussion of Trauma Questions DNB March 2019 Exam Part -2 (Dr. Shailesh Pai),Solved Theory Papers
Discussion of Ortho-Pediatrics DNB December 2017 Exam Part - 1 (Dr. Faheem Kotekar),Solved Theory Papers
Discussion of Shoulder MRI (Dr. Harpreet Singh),Conceptual Connect LIVE Sessions
MCQ in Orthopaedic Oncology (Dr. Vivek Verma),Conceptual Connect LIVE Sessions
Ankle Swelling - Short Case (Prof. Dr. Anil Dhal),Clinical Examination
Trauma MCQ Discussion (Dr. Shailesh Pai & Dr. Naufal Nahas),Conceptual Connect LIVE Sessions
Discussion of Ortho-Pediatrics MCQs of DNB December 2017 (Dr. Faheem Kotekar),Conceptual Connect LIVE Sessions
MCQs Discussion of Basic Science Part - 2 (Dr. Ravinder Dimri),Conceptual Connect LIVE Sessions
Glass Cut Wrist Injury (Prof. Dr. Anil Dhal),Regional Orthopedics
Imaging in Pediatric Trauma (Dr. Shailesh Pai),Specialty Courses
Forearm Shaft and Distal Radius (Dr. Faheem Kotekar),Specialty Courses
Anatomy of Physis and Physeal Injuries with Classification (Dr. Apurv Mehra),Specialty Courses
MCQs Discussion of Basic Science Part - 3 (Dr. Ravinder Dimri),Conceptual Connect LIVE Sessions
SLAP Tears (Dr. Harpreet Singh),Live Sessions - Month Wise
Short Case - Ankle & Foot (Prof. Dr. Anil Dhal),Clinical Examination
MCQs Discussion on Basic Science Part - 4 (Dr. Ravinder Dimri),Conceptual Connect LIVE Sessions
Principles of Plating (Dr. Shailesh Pai),Trauma
Principles of Plating (Dr. Shailesh Pai),OSCE Examinations
Day 1,Specialty Courses
Day 2,Specialty Courses
Day 1,Specialty Courses
Day 2,Specialty Courses
OPD Approach to a Patient with Shoulder Pain (Dr Harpreet Singh),Clinical Examination
Flexor Tendon Injuries (Prof. Dr. Anil. Dhal),Free Videos
An Approach to a Limping Child (Prof. Dr. Gopa Kumar),Pediatric Orthopedics
Case Discussion on Upper Limb Trauma Biomechanics,Trauma
Flexor Tendon Injuries Part - 2 (Prof. Dr. Anil Dhal),Free Videos
Early Total Care vs Damage Control Orthopedics (Prof. Dr. Shantharam Shetty),Free Videos
How to Answer Theory paper and Viva Voce Examination (Prof. Dr. Shantharam Shetty),Conceptual Connect LIVE Sessions
Stem Cells & Its Applications (Prof. Dr. Shantharam Shetty),Fundamental Concepts
Non-Union of Long Bones (Prof. Dr. Shantharam Shetty),Trauma
Clavicle Fractures,Trauma
PG X-Rays Discussion (Prof. Dr. Shantharam Shetty),Practical Examination
"MCQs Discussion on Hip Arthroplasty Part - 1 (Prof. Dr. Heiko Graichen, Dr. Ravinder Dimri & Dr. Ashish Taneja)",Conceptual Connect LIVE Sessions
Giant Cell Radius of Distal Tumor (Dr. Vivek Verma),Conceptual Connect LIVE Sessions
Foot Drop Evaluation (Dr. Ravinder Dimri),Neurology Nerves
Congenital Hyperextension / Dislocation of Knee (Prof. Dr. Gopa Kumar),Pediatric Orthopedics
Osteochondritis Dissecans of the Knee (Prof. Dr. Gopa Kumar),Regional Orthopedics
Case Discussion on Upper Limb Trauma Biomechanics Part - 2 (Dr. Harpreet Singh & Dr. Shailesh Pai),Practical Examination
"MCQ Discussion on Hip Arthroplasty Part - 2 (Prof. Dr. Heiko Graichen, Dr. Ravinder Dimri & Dr. Ashish Taneja)",Conceptual Connect LIVE Sessions
PG X-Rays Discussion Part - 2 (Prof. Dr. Shantharam Shetty),Practical Examination
Conceptual Orthopedics - New Update (Dr. Apurv Mehra),Introduction and Orientation
Biomechanics of Knee Part - 1 (Dr. Raju Easwaran),Regional Orthopedics
Osteoid Osteoma - Minimally Invasive Surgical Procedures (Dr. Vivek Verma),Oncology
Basics of Ankle Arthroscopy (Dr. Maninder Shah Singh),Arthroscopy
Nerve Entrapment Syndromes of the Lower Extremity Part 2 (Dr. Ravinder Dimri),Neurology Nerves
Pediatric Knee Injuries (Prof. Dr. Gopa Kumar),Specialty Courses
Nerve Entrapment Syndromes of the Lower Extremity Part 1 (Dr. Ravinder Dimri),Neurology Nerves
PG X-Rays Discussion Part - 3 (Prof. Dr. Shantharam Shetty),Practical Examination
Pediatric ACL Knee Injuries (Prof. Dr. VB Bhasin & Prof. Dr. Gopa Kumar),Pediatric Orthopedics
Nailing in Proximal Humerus Fractures,Trauma
Nerve Entrapment Syndromes of the Lower Extremity Part - 3 (Dr. Ravinder Dimri),Neurology Nerves
Biomechanics of the Knee Part - 2 (Dr. Raju Easwaran),Regional Orthopedics
Limb Salvage for Osteo/ Ewings Sarcoma in Paediatric Patients (Dr. Vivek Verma),Oncology
Septic Arthritis Part - 1(Dr. Faheem Kotekar),General Orthopedics
Septic Arthritis Part - 2 (Dr. Faheem Kotekar),General Orthopedics
Septic Arthritis Part - 3 (Dr. Faheem Kotekar),General Orthopedics
Subtrochanteric Fractures,Trauma
Extended Curettage in Giant Cell Tumors (Dr. Vivek Verma),Oncology
Extensor Tendon Injuries (Prof. Dr. Anil Dhal),Regional Orthopedics
Heel and Plantar Sided Pain (Dr. Ravinder Dimri),Regional Orthopedics
Rehabilitation After ACL Reconstruction (Dr. Raju Easwaran),Arthroscopy
Vitamin D (Dr. Saptarshi Bhattacharya),Fundamental Concepts
Calcium (Dr. Saptarshi Bhattacharya),Fundamental Concepts
Osteoporosis and Fracture Management (Dr. Naufal Nahas),General Orthopedics
Elbow Examination (Dr. Naufal Nahas),Fundamental Concepts
Meniscal Tears Assessment Management (Dr. Shekhar Srivastava),Specialty Courses
Patello Femoral Instability (Dr. Shekhar Srivastava),Specialty Courses
PCL Injury (Dr. Raju Easwaran),Specialty Courses
MCL (Dr. Raju Easwaran),Specialty Courses
Posterolateral Corner of Knee (Prof. Dr. V B Bhasin),Specialty Courses
ACL Injury (Dr. Amite Pankaj Aggarwal),Specialty Courses
Shoulder Instability Assessment (Dr. Shekhar Srivastava),Specialty Courses
Rotator Cuff Tendinitis (Prof. Dr. VB Bhasin),Specialty Courses
Rotator Cuff Tear (Dr. Raju Easwaran),Specialty Courses
Mini Open Rotator Cuff Tear (Prof. Dr. VB Bhasin),Specialty Courses
Adhesive Capsulitis (Dr. Raju Easwaran),Specialty Courses
Acromio Clavicular Injuries (Dr. Shekhar Srivastava),Specialty Courses
Pediatric ACL (Prof. Dr. VB Bhasin),Arthroscopy
DNB OSCE Exam Pattern Dr.Shailesh Pai & Dr. Apurv Mehra | Important Update For Upcoming August Exam,OSCE Examinations
MCQ Discussion on Elbow (Dr. Harpreet Singh),MCQ Discussion
OSCE on Foot and Ankle (Dr. Maninder Shah Singh),OSCE Examinations
Independence Day Carnival | Open Session for All Ortho Residents,Specialty Courses
Non Healing Ulcer - Heel (Prof. Dr. Anil Dhal),Clinical Examination
OSCE on Pediatric Trauma (Dr. Faheem Kotekar),OSCE Examinations
OSCE on Basic Sciences Part - 1 (Dr. Ravinder Dimri),OSCE Examinations
OSCE on Basic Sciences Part - 2 (Dr. Ravinder Dimri),OSCE Examinations
Clinical Examination - Case Scenario - Hip (Prof. Dr. Ajith Kumar),Clinical Examination
OSCE Session on Trauma Part - 1 (Dr. Shailesh Pai) - 11.08.2021,OSCE Examinations
Basics of MRI Spine (Dr. Srinivas Moolya),Fundamental Concepts
Pathologies of Spine (Dr Srinivas Moolya),Fundamental Concepts
OSCE on Pediatric Ortho (Dr. Faheem Kotekar) - 13.08.2021,OSCE Examinations
OSCE on Shoulder (Dr. Harpreet Singh) - 14.08.2021,OSCE Examinations
Flexor Retinaculum (Dr. Rajesh Kaushal),Fundamental Concepts
Plantar Arches (Dr. Rajesh Kaushal),Fundamental Concepts
MCQ on Sports Injury (Prof. Dr. VB Bhasin & Dr. Raju Easwaran),MCQ Discussion
Periprosthetic Fractures - Case Based Discussion (Prof. Dr. Ajith Kumar),Arthroplasty
OSCE on Basic Sciences Part - 3 (Dr. Ravinder Dimri) - 16.08.2021,OSCE Examinations
OSCE On Trauma (Prof. Dr. Shantharam Shetty) - 17.08.2021,OSCE Examinations
OSCE Session On Trauma Part - 2 (Dr. Shailesh Pai) - 18.08.2021,OSCE Examinations
Hand Space Infections (Prof. Dr. Anil Dhal),General Orthopedics
Tips for Scoring Better in Theory Examinations_Dr. Apurv Mehra,Introduction and Orientation
Classification of Trauma (Dr. Shailesh Pai),Trauma
OSCE on Arthroplasty (Dr. Ashish Taneja),OSCE Examinations
OSCE on Spine (Prof. Dr. SM Tuli & Dr. Naufal Nahas),OSCE Examinations
OSCE Session on Knee (Dr. Raju Easwaran) - 20.08.2021,OSCE Examinations
Synovial Chondromatosis (Prof. Dr. Gopa Kumar),Regional Orthopedics
Non Healing UIcer and the Importance of Undermining Edges (Prof. Dr. SM Tuli),Fundamental Concepts
Discoid Meniscus (Prof. Dr. Gopa Kumar),Arthroscopy
OSCE on Musculoskeletal Infections (Prof. Dr. Sudhir Kumar),OSCE Examinations
OSCE on Bone Tumors (Dr. Vivek Verma),OSCE Examinations
OSCE on Basic Arthroscopy (Prof. Dr. VB Bhasin),OSCE Examinations
Ward Rounds (Prof. Dr. Gopa Kumar),Practical Examination
Anterior Knee Pain after Total Knee Arthroplasty (Prof. Dr. Heiko Graichen),Arthroplasty
OSCE on Basic Sciences Part - 4 (Dr. Ravinder Dimri) - 23.08.2021,OSCE Examinations
OSCE Limb on Trauma (Prof. Dr. Ajith Kumar),OSCE Examinations
Cubitus Varus (Dr. Faheem Kotekar),Pediatric Orthopedics
OSCE on Foot and Ankle (Dr. Anuj Chawla),OSCE Examinations
OSCE on Spine (Dr. Srinivasa Moolya),OSCE Examinations
OSCE Mock Test - 1 - 27.08.2021,OSCE Examinations
OSCE Mock Test Discussion - 1 - 27.08.2021,OSCE Examinations
OSCE Mock Test - 2,OSCE Examinations
OSCE on Knee Part - 2 (Prof. Dr. VB Bhasin) - 29.08.2021,OSCE Examinations
OSCE on Clinical Cases (Prof. Dr. Gopa Kumar) - 29.08.2021,OSCE Examinations
X-rays and Clinical Case Discussion Part - 1 (Prof. Dr. SM Tuli & Dr. Naufal Nahas),Fundamental Concepts
Final OSCE Mop-Up Round (Dr. Ravinder Dimri),OSCE Examinations
Discussion of Trauma Theory Question of DNB August 2021 Exam (Dr. Shailesh Pai),Solved Theory Papers
Thoracolumbar Fracture Classification (Dr. Srinivasa Moolya),Regional Orthopedics
Cavo Varus Foot and Importance of Coleman Block Test (Prof. Dr. SM Tuli & Dr. Naufal Nahas),Clinical Examination
Complex Hand Injuries by (Prof. Dr. Anil Dhal),Regional Orthopedics
26. Flexor Retinaculum (Dr. Rajesh Kaushal),Fundamental Concepts
Sole Muscles (Dr. Rajesh Kaushal),Fundamental Concepts
Lower Limb - Venous Drainage (Dr. Rajesh Kaushal),Fundamental Concepts
Discussion of Pediatric Ortho and Recent Advances Question of DNB August 2021 Exam (Dr. Faheem Kotekar),Solved Theory Papers
Knee Rehabilitation in Ligamentous Injuries Part - 2 (Dr. Raju Easwaran),Conceptual Connect LIVE Sessions
Ankle Arthrodesis (Dr. Maninder Shah Singh),Conceptual Connect LIVE Sessions
Ulnar Sided Wrist Pain Part -1 (Dr. Ravinder Dimri),Conceptual Connect LIVE Sessions
Templating Uncemented THR (Dr. Naufal Nahas),Arthroplasty
An Approach to NEET SS Exams (Dr. Apurv Mehra),Introduction and Orientation
Fellowship Entrance Spine Module-15 (Dr. Jitesh Manghwani),MCQ Discussion
Discussion of Should Theory Questions of DNB August 2021,Solved Theory Papers
Back to Basics Part - 1 (Prof. Dr. SM Tuli and Prof. Dr. Sudhir Kumar),Fundamental Concepts
Back to Basics Part - 2 (Prof. Dr. SM Tuli and Prof. Dr. Sudhir Kumar),Fundamental Concepts
Discussion of Pediatric Ortho and Deformity Question of DNB August 2021 Exam (Dr. Faheem Kotekar),Solved Theory Papers
Flat Foot in Children (Prof. Dr. Gopa Kumar),Pediatric Orthopedics
Cavovarus foot and Coleman block test (Dr. Naufal Nahas),Fundamental Concepts
Preoperative Templating in an Uncemented Total Hip Arthroplasty (Dr. Naufal Nahas),Free Videos
Layout of CO PG Course (Prof. Dr. S. M. Tuli),Introduction and Orientation
Conceptual Orthopedics PG course - 1st Announcement,Introduction and Orientation
Theory Crash Course Session on Trauma Part-6 (Dr. Shailesh Pai),Solved Theory Papers
Strong pillars of CO PG Course,Introduction and Orientation
Non Healing Ulcers and The Importance of Undermining Edges (Prof. Dr. S.M. Tuli),Clinical Examination
OSCE Discussion on Spine (Prof. Dr. SM Tuli),OSCE Examinations
Osteoporosis and Fracture Management (Dr. Naufal Nahas),Fundamental Concepts
Elbow Examination (Dr. Naufal Nahas),Fundamental Concepts
Proximal Humerus Fractures,Trauma
Art of Solving MCQs (Dr. Apurv Mehra),Free Videos
Chapter 103 - Pediatrics (Dr. Faheem Kotekar),Orthopedics Q-Book
Chapter 111 - Pediatrics (Dr. Faheem Kotekar),Orthopedics Q-Book
Chapter 46 - Shoulder (Dr. Harpreet Singh),Orthopedics Q-Book
Ulnar Sided Wrist Pain Part -2 (Dr. Ravinder Dimri),Regional Orthopedics
127. Backache in Children (Prof. Dr. Gopa Kumar),Conceptual Connect LIVE Sessions
Backache in Children (Prof. Dr. Gopa Kumar),Regional Orthopedics
Short Case: Swelling of Distal Leg (Prof. Dr. Anil Dhal),Clinical Examination
Back to Basics Part - 1 (Prof. Dr. SM Tuli & Dr. Naufal Nahas),Clinical Examination
Back to Basics Part - 2 (Prof. Dr. SM Tuli & Dr. Naufal Nahas),Clinical Examination
Complex Hand Injuries - FPL Reconstruction (Prof. Dr. Anil Dhal),Regional Orthopedics
Chapter 33 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Orientation on FRCS (Dr. Anuj Chawla),Introduction and Orientation
"TFCC, Ulnar Impactions & DRUJ Pathology Triangle & Management Principles (Dr. Ravinder Dimri)",Regional Orthopedics
Introduction to CO PG Course (Prof. Dr. Anil Dhal ),Introduction and Orientation
Introduction to ACL Reconstruction (Dr. Raju Easwaran),Arthroscopy
Nailing In Proximal Humerus Fracture (Dr. Shailesh Pai),Introduction and Orientation
DNB OSCE Exam Pattern Dr.Shailesh Pai & Dr. Apurv Mehra | Important Update For Upcoming August Exam,OSCE Examinations
SCIWORA (Prof. Dr. Sudhir Kumar),Regional Orthopedics
MCQs in Orthopedics Oncology (Dr. Vivek Verma),MCQ Discussion
ATLS,Trauma
Trauma (Dr. Ravinder Dimri),Trauma
Calcaneal Fractures,Trauma
Embryology of the Hand & Upper Limb (Prof. Dr. Anil Dhal),Fundamental Concepts
Chapter 35 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 36 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 38 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 47 - Shoulder (Dr. Harpreet Singh),Orthopedics Q-Book
Chapter 39 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 48 - Shoulder (Dr. Harpreet Singh),Orthopedics Q-Book
Chapter 37 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 43 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 42 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 41 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 40 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Highlights of CO PG course at Delhi (Prof. Dr. V. B. Bhasin),Introduction and Orientation
Case Based Discussion - Posterior Interosseous Nerve (PIN) Palsy (Dr. Ravinder Dimri),Clinical Examination
Tips and Tricks in Management of Subtrochanteric Fractures,Trauma
Orientation on Pediatric Orthopedics (Prof. Dr. Gopa Kumar & Dr. Faheem Kotekar),Introduction and Orientation
Chapter 34 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 52 - Wrist and Hand (Dr. Ravinder Dimri),Orthopedics Q-Book
Chapter 45 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 104 - Pediatrics (Dr. Faheem Kotekar),Orthopedics Q-Book
Chapter 21 - Tuberculosis (Prof. Dr. SM Tuli),Orthopedics Q-Book
Chapter 26 - Tumors (Dr. Vivek Verma),Orthopedics Q-Book
Chapter 25 - Tumors (Dr. Vivek Verma),Orthopedics Q-Book
Chapter 55 - Wrist and Hand (Dr. Harpreet Singh),Orthopedics Q-Book
Chapter 24 - Tuberculosis (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 23 - Tuberculosis (Prof. Dr. SM Tuli),Orthopedics Q-Book
Chapter 22 - Tuberculosis (Prof. Dr. SM Tuli),Orthopedics Q-Book
Chapter 99 - Arthroplasty (Dr. Ashish Taneja),Orthopedics Q-Book
Chapter 50 - Elbow (Dr. Harpreet Singh),Orthopedics Q-Book
Chapter 1 - Applied Anatomy (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 2 - Applied Anatomy (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 51 - Elbow (Dr. Harpreet Singh),Orthopedics Q-Book
Chapter 49 - Elbow (Dr. Harpreet Singh),Orthopedics Q-Book
Chapter 97 - Arthroplasty (Dr. Ashish Taneja),Orthopedics Q-Book
Chapter 98 - Arthroplasty (Dr. Ashish Taneja),Orthopedics Q-Book
Chapter 44 - Trauma (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 65 - Spine (Dr. Jitesh Manghwani),Orthopedics Q-Book
Chapter 8 - Imaging (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 7 - Imaging (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 105 - Pediatrics (Dr. Faheem Kotekar),Orthopedics Q-Book
Chapter 4 - Basic Sciences (Dr. Faheem Kotekar),Orthopedics Q-Book
Chapter 106 - Pediatrics (Dr. Faheem Kotekar),Orthopedics Q-Book
Chapter 59 - Spine (Dr. Jitesh Manghwani),Orthopedics Q-Book
Chapter 60 - Spine (Dr. Jitesh Manghwani),Orthopedics Q-Book
Chapter 3 - Applied Anatomy (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 107 - Pediatrics (Dr. Faheem Kotekar),Orthopedics Q-Book
Chapter 64 - Spine (Dr. Jitesh Manghwani),Orthopedics Q-Book
Chapter 63 - Spine (Dr. Jitesh Manghwani),Orthopedics Q-Book
Chapter 102 - Arthroplasty (Dr. Ashish Taneja),Orthopedics Q-Book
Chapter 101 - Arthroplasty (Dr. Ashish Taneja),Orthopedics Q-Book
Chapter 100 - Arthroplasty (Dr. Ashish Taneja),Orthopedics Q-Book
Chapter 27 - Tumors (Dr. Vivek Verma),Orthopedics Q-Book
Chapter 62 - Spine (Prof. Dr. SM Tuli & Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 61 - Spine (Prof. Dr. SM Tuli & Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 10 - Imaging (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 9 - Imaging (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 112 - Orthotics (Prof. Dr. Gopa Kumar),Orthopedics Q-Book
Spine Alignment & Balance (Prof. Dr. Sanjeev Dua),Fundamental Concepts
TB Spine Current Consensus in Diagnosis Management of Sensitive & Drug Resistance (Prof. Dr. Anil Jain),Regional Orthopedics
Algorithm To Correct Varus Deformity In TKA (Prof. Dr. A S Prasad),Arthroplasty
Concept of Bone Cuts & Execution TKR (Prof. Dr. A S Prasad),Arthroplasty
CO PG Course One Full Day Of Trauma With by Dr. Shailesh Pai,Introduction and Orientation
Introducing NEET SS Orthopedics Course (Dr. Apurv Mehra),Introduction and Orientation
CO PG Course @ Delhi An Academic & Clinical Carnival By Dr. Apurv Mehra,Introduction and Orientation
Consistency is the Key says Dr. Nagarjun,Introduction and Orientation
Persistence is the Key To Success | Walk An Extra Mile with Dr. Nayeem and Dr. Apurv Mehra,Introduction and Orientation
Career As A Trauma Surgeon (Dr. Shailesh Pai And Dr. Apurv Mehra),Introduction and Orientation
Metallurgy in Orthopedics (Prof. Dr. Shantharam Shetty),Trauma
"Latarjet Procedure Indications, Variants & Surgical Steps (Dr. Harpreet Singh)",Recent Advances
Dr. Piyush Jadhao,Introduction and Orientation
Dr. Gunjan Upadhyay,Introduction and Orientation
Dr. Shravya Vaddiparthi,Introduction and Orientation
Dr. Nayeem Siddiqui,Introduction and Orientation
Calcaneal Fractures,Trauma
Trochanteric Fractures,Trauma
Distal End Radius Fracture,Trauma
Reaming (Dr. Shailesh Pai),Trauma
Call for Help (Dr. Apurv Mehra and Dr. Shailesh Pai),Fundamental Concepts
Proximal Tibia Fractures,Trauma
Proximal Humerus Fracture,Trauma
Distal Humerus Fractures,Trauma
Femoral Neck Fracture,Trauma
ATLS (Dr. Shailesh Pai),Integrated Series 2021 - 2022
Malleolar Fractures,Trauma
Acetabular Fracture,Trauma
Traumatic Knee Dislocation (Dr. Raju Easwaran & Dr. Shailesh Pai),Integrated Series 2021 - 2022
Trauma as a Speciality (Dr. Apurv Mehra and Dr. Shailesh Pai),Integrated Series 2021 - 2022
Trauma Guidance (Dr. Shailesh Pai & Dr. Rohit Prasad),Integrated Series 2021 - 2022
Humerus Shaft Fracture with Radial Nerve Palsy,Trauma
Tibial Spine Fractures (Prof. Dr. VB Bhasin and Dr. Shailesh Pai),Integrated Series 2021 - 2022
Proximal Humerus Fractures (Dr. Harpreet Singh & Dr. Shailesh Pai),Integrated Series 2021 - 2022
"Periprosthetic Fracture (Dr. Ashish Taneja, Dr. Shailesh Pai & Dr. Naufal Nahas)",Integrated Series 2021 - 2022
"Nonunion Part - 1 (Prof. Dr. SM Tuli, Dr. Shailesh Pai & Dr. Naufal Nahas)",Integrated Series 2021 - 2022
"Nonunion Part - 2 (Prof. Dr. SM Tuli, Dr. Shailesh Pai & Dr. Naufal Nahas)",Integrated Series 2021 - 2022
"Nonunion Part - 3 (Prof. Dr. SM Tuli, Dr. Shailesh Pai & Dr. Naufal Nahas)",Integrated Series 2021 - 2022
"Nonunion Part - 4 (Prof. Dr. SM Tuli, Dr. Shailesh Pai & Dr. Naufal Nahas)",Integrated Series 2021 - 2022
"Nonunion Part - 5 (Prof. Dr. SM Tuli, Dr. Shailesh Pai & Dr. Naufal Nahas)",Integrated Series 2021 - 2022
"Soft Tissue Injuries & Open Fractures Part - 1 (Prof. Dr. Sudhir Kumar, Dr. Shailesh Pai & Dr. Naufal Nahas)",Integrated Series 2021 - 2022
"Soft Tissue Injuries & Open Fractures Part - 2 (Prof. Dr. Sudhir Kumar, Dr. Shailesh Pai & Dr. Naufal Nahas)",Integrated Series 2021 - 2022
Case Base Discussion - Malunited Distal Radius Fracture (Dr. Ravinder Dimri),Practical Examination
Orientation on Dip. SICOT Exam (Dr. Apurv Mehra),Introduction and Orientation
Chapter 115 - Amputation (Dr. Shailesh Pai),Orthopedics Q-Book
Chapter 56 - Nerves (Dr. Ravinder Dimri),Orthopedics Q-Book
Chapter 57 - Nerves (Dr. Ravinder Dimri),Orthopedics Q-Book
Chapter 110 - Pediatrics (Dr. Faheem Kotekar),Orthopedics Q-Book
Chapter 114 - Recent Advances (Dr. Faheem Kotekar),Orthopedics Q-Book
Chapter 19 - Infections (Prof. Dr. SM Tuli & Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 18 - Infections (Prof. Dr. SM Tuli & Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 12 - Imaging MCQ Discussioin (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 11 - Imaging MCQ Discussion (Dr Naufal Nahas),Orthopedics Q-Book
Chapter 29 - Tumor (Dr Vivek Verma),Orthopedics Q-Book
Chapter 30 - Tumor (Dr Vivek Verma),Orthopedics Q-Book
Chapter 82 - Metabolic Disorder (Dr Harpreet Singh),Orthopedics Q-Book
Chapter 83 - Metabolic Disorder (Dr. Harpreet Singh),Orthopedics Q-Book
Chapter 6 - Basic Science (Dr Faheem Kotekar),Orthopedics Q-Book
Chapter 5 - Basic Science (Dr Faheem Kotekar),Orthopedics Q-Book
Chapter 113 - Orthotics (Prof. Dr. Gopa Kumar),Orthopedics Q-Book
Chapter 13 - Imaging (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 14 - Imaging (Dr Naufal Nahas),Orthopedics Q-Book
Chapter 20 - Infections (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 86 - Arthritis (Dr. Suvrat Arya & Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 87 - Arthritis (Dr. Suvrat Arya & Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 88 - Arthritis (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 89 - Arthritis (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 90 - Arthritis (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 108 - Pediatrics (Dr. Faheem Kotekar),Orthopedics Q-Book
Chapter 109 - Pediatrics (Dr. Faheem Kotekar),Orthopedics Q-Book
Chapter 75 - Foot and Ankle (Dr. Anuj Chawla),Orthopedics Q-Book
Chapter 76 - Foot and Ankle (Dr. Anuj Chawla),Orthopedics Q-Book
Chapter 31 - Tumor (Dr. Vivek Verma),Orthopedics Q-Book
Chapter 53 - Wrist and Hand (Dr. Ravinder Dimri),Orthopedics Q-Book
Chapter 28 - Tumors (Dr. Vivek Verma),Orthopedics Q-Book
Computer Navigated TKR(OR) (Prof. Dr. Heiko Graichen),Arthroplasty
Chapter 91 - Arthritis (Dr. Suvrat Arya),Orthopedics Q-Book
Chapter 32 - Tumor (Dr. Vivek Verma),Orthopedics Q-Book
Chapter 70 - Knee (Dr. Ashish Taneja),Orthopedics Q-Book
Chapter 71 - Knee (Dr. Ashish Taneja),Orthopedics Q-Book
Chapter 58 - Nerves (Dr. Ravinder Dimri),Orthopedics Q-Book
Chapter 92 - Arthritis (Dr. Suvrat Arya & Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 93 - Arthritis (Dr. Suvrat Arya & Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 94 - Arthritis (Dr. Suvrat Arya),Orthopedics Q-Book
Chapter 95 - Arthritis (Dr. Suvrat Arya),Orthopedics Q-Book
Chapter 96 - Arthritis (Dr. Suvrat Arya),Orthopedics Q-Book
Chapter 17 - Imaging (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 16 - Imaging (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 15 - Imaging (Dr. Naufal Nahas),Orthopedics Q-Book
Chapter 54 - Wrist and Hand (Dr. Ravinder Dimri),Orthopedics Q-Book
Chapter 73 - Knee (Dr. Ashish Taneja),Orthopedics Q-Book
Chapter 72 - Knee (Dr. Ashish Taneja),Orthopedics Q-Book
Chapter 116 - Amputation (Dr. Shailesh Pai),Orthopedics Q-Book
Perthes Disease (Prof. Dr. Gopa Kumar),Pediatric Orthopedics
11 Key Decisions to Improve TKR with KneeCAT (Prof. Dr. Heiko Graichen),Arthroplasty
